screen_name,upper_letter_count,upper_ratio,followers_count,friends_count,bio_auto_Yes_freq_terms,bio_auto_No_freq_terms,has_no_words,has_yes_words,class
@EmaSooma,2,0.2222222222222222,41704,266,2,0,0,0,y
@NurseHumorTees,3,0.2,41192,6075,2,2,0,0,n
@ohhitsbrystol,0,0.0,29199,1728,0,1,1,0,n
@AkronSusan,2,0.18181818181818182,27107,4116,1,0,0,0,y
@ReinaQueen7,2,0.16666666666666666,23273,13970,4,0,0,0,y
@KarineSexyPussy,3,0.1875,22498,24644,2,22,0,0,n
@Healthtechtalkn,1,0.0625,21745,16466,13,1,0,0,y
@SVnjMAFS,6,0.6666666666666666,21013,78,7,0,0,0,y
@wetnhorny74,0,0.0,18701,1092,14,0,0,0,y
@MKMMACChiba,7,0.5833333333333334,17209,17100,3,7,0,0,n
@Nvthen,1,0.14285714285714285,12382,835,0,2,0,0,n
@Velvett_Rose_,2,0.14285714285714285,12057,265,2,3,0,0,n
@Bi_Lust,2,0.25,11839,1240,13,1,0,0,y
@NurseMaryJInk,4,0.2857142857142857,11820,10458,13,1,0,0,y
@ElbertaTrisha,2,0.14285714285714285,11284,12621,1,0,0,0,y
@nursemobileKL,2,0.14285714285714285,10712,11680,0,0,0,0,n
@ATX_Milf,4,0.4444444444444444,10510,650,0,5,0,0,n
@N_P_jobs,2,0.2222222222222222,10341,5222,0,0,0,0,y
